CYCLE	CMDPOS3	CMDPOS4	CMDPOS5	CMDPOS6	CMDPOS7	out_0.0	in_0.0
69053	0.000	0.000	0.000	0.000	0.000	0	0
69054	0.000	0.000	0.000	0.000	0.000	0	0
69055	0.000	0.000	0.000	0.000	0.000	0	0
69056	0.000	0.000	0.000	0.000	0.000	0	0
69057	0.000	0.000	0.000	0.000	0.000	0	0
69058	0.000	0.000	0.000	0.000	0.000	0	0
69059	0.000	0.000	0.000	0.000	0.000	0	0
69060	0.000	0.000	0.000	0.000	0.000	0	0
69061	0.000	0.000	0.000	0.000	0.000	0	0
69062	0.000	0.000	0.000	0.000	0.000	0	0
69063	0.000	0.000	0.000	0.000	0.000	0	0
69064	0.000	0.000	0.000	0.000	0.000	0	0
69065	0.000	0.000	0.000	0.000	0.000	0	0
69066	0.000	0.000	0.000	0.000	0.000	0	0
69067	0.000	0.000	0.000	0.000	0.000	0	0
69068	0.000	0.000	0.000	0.000	0.000	0	0
69069	0.000	0.000	0.000	0.000	0.000	0	0
69070	0.000	0.000	0.000	0.000	0.000	0	0
69071	0.000	0.000	0.000	0.000	0.000	0	0
69072	0.000	0.000	0.000	0.000	0.000	0	0
69073	0.000	0.000	0.000	0.000	0.000	0	0
69074	0.000	0.000	0.000	0.000	0.000	0	0
69075	0.000	0.000	0.000	0.000	0.000	0	0
69076	0.000	0.000	0.000	0.000	0.000	0	0
69077	0.000	0.000	0.000	0.000	0.000	0	0
69078	0.000	0.000	0.000	0.000	0.000	0	0
69079	0.000	0.000	0.000	0.000	0.000	0	0
69080	0.000	0.000	0.000	0.000	0.000	0	0
69081	0.000	0.000	0.000	0.000	0.000	0	0
69082	0.000	0.000	0.000	0.000	0.000	0	0
69083	0.000	0.000	0.000	0.000	0.000	0	0
69084	0.000	0.000	0.000	0.000	0.000	0	0
69085	0.000	0.000	0.000	0.000	0.000	0	0
69086	0.000	0.000	0.000	0.000	0.000	0	0
69087	0.000	0.000	0.000	0.000	0.000	0	0
69088	0.000	0.000	0.000	0.000	0.000	0	0
69089	0.000	0.000	0.000	0.000	0.000	0	0
69090	0.000	0.000	0.000	0.000	0.000	0	0
69091	0.000	0.000	0.000	0.000	0.000	0	0
69092	0.000	0.000	0.000	0.000	0.000	0	0
69093	0.000	0.000	0.000	0.000	0.000	0	0
69094	0.000	0.000	0.000	0.000	0.000	0	0
69095	0.000	0.000	0.000	0.000	0.000	0	0
69096	0.000	0.000	0.000	0.000	0.000	0	0
69097	0.000	0.000	0.000	0.000	0.000	0	0
69098	0.000	0.000	0.000	0.000	0.000	0	0
69099	0.000	0.000	0.000	0.000	0.000	0	0
69100	0.000	0.000	0.000	0.000	0.000	0	0
69101	0.000	0.000	0.000	0.000	0.000	0	0
69102	0.000	0.000	0.000	0.000	0.000	0	0
69103	0.000	0.000	0.000	0.000	0.000	0	0
69104	0.000	0.000	0.000	0.000	0.000	0	0
69105	0.000	0.000	0.000	0.000	0.000	0	0
69106	0.000	0.000	0.000	0.000	0.000	0	0
69107	0.000	0.000	0.000	0.000	0.000	0	0
69108	0.000	0.000	0.000	0.000	0.000	0	0
69109	0.000	0.000	0.000	0.000	0.000	0	0
69110	0.000	0.000	0.000	0.000	0.000	0	0
69111	0.000	0.000	0.000	0.000	0.000	0	0
69112	0.001	0.000	0.000	0.000	0.000	0	0
69113	0.002	0.000	0.000	0.000	0.000	0	0
69114	0.004	0.000	0.000	0.000	0.000	0	0
69115	0.007	0.000	0.000	0.000	0.000	0	0
69116	0.011	0.000	0.000	0.000	0.000	0	0
69117	0.017	0.000	0.000	0.000	0.000	0	0
69118	0.024	0.000	0.000	0.000	0.000	0	0
69119	0.033	0.000	0.000	0.000	0.000	0	0
69120	0.044	0.000	0.000	0.000	0.000	0	0
69121	0.058	0.000	0.000	0.000	0.000	0	0
69122	0.073	0.000	0.000	0.000	0.000	0	0
69123	0.091	0.000	0.000	0.000	0.000	0	0
69124	0.112	0.000	0.000	0.000	0.000	0	0
69125	0.137	0.000	0.000	0.000	0.000	0	0
69126	0.164	0.000	0.000	0.000	0.000	0	0
69127	0.194	0.000	0.000	0.000	0.000	0	0
69128	0.229	0.000	0.000	0.000	0.000	0	0
69129	0.267	0.000	0.000	0.000	0.000	0	0
69130	0.309	0.000	0.000	0.000	0.000	0	0
69131	0.355	0.000	0.000	0.000	0.000	0	0
69132	0.406	0.000	0.000	0.000	0.000	0	0
69133	0.461	0.000	0.000	0.000	0.000	0	0
69134	0.521	0.000	0.000	0.000	0.000	0	0
69135	0.586	0.000	0.000	0.000	0.000	0	0
69136	0.656	0.000	0.000	0.000	0.000	0	0
69137	0.732	0.000	0.000	0.000	0.000	0	0
69138	0.813	0.000	0.000	0.000	0.000	0	0
69139	0.900	0.000	0.000	0.000	0.000	0	0
69140	0.993	0.000	0.000	0.000	0.000	0	0
69141	1.092	0.000	0.000	0.000	0.000	0	0
69142	1.198	0.000	0.000	0.000	0.000	0	0
