CYCLE	CMDPOS4	CMPCMDPOS4	out_0.0	in_0.0
997	0.000	0.000	0	0
998	0.000	0.000	0	0
999	0.000	0.000	0	0
1000	0.000	0.000	0	0
1001	0.000	0.000	0	0
1002	0.000	0.000	0	0
1003	0.000	12.000	0	0
1004	0.000	12.000	0	0
1005	0.005	12.004	0	0
1006	0.020	12.015	0	0
1007	0.045	12.034	0	0
1008	0.080	12.061	0	0
1009	0.125	12.095	0	0
1010	0.180	12.137	0	0
1011	0.245	12.186	0	0
1012	0.320	12.243	0	0
1013	0.405	12.308	0	0
1014	0.500	12.380	0	0
1015	0.605	12.460	0	0
1016	0.720	12.547	0	0
1017	0.845	12.642	0	0
1018	0.980	12.745	0	0
1019	1.125	12.855	0	0
1020	1.280	12.973	0	0
1021	1.445	13.098	0	0
1022	1.620	13.231	0	0
1023	1.805	13.372	0	0
1024	2.000	13.520	0	0
1025	2.205	13.676	0	0
1026	2.420	13.839	0	0
1027	2.645	14.010	0	0
1028	2.880	14.189	0	0
1029	3.125	14.375	0	0
1030	3.380	14.569	0	0
1031	3.645	14.770	0	0
1032	3.920	14.979	0	0
1033	4.205	15.196	0	0
1034	4.500	15.420	0	0
1035	4.805	15.652	0	0
1036	5.120	15.891	0	0
1037	5.445	16.138	0	0
1038	5.780	16.393	0	0
1039	6.125	16.655	0	0
1040	6.480	16.925	0	0
1041	6.845	17.202	0	0
1042	7.220	17.487	0	0
1043	7.605	17.780	0	0
1044	8.000	18.080	0	0
1045	8.405	18.388	0	0
1046	8.820	18.703	0	0
1047	9.245	19.026	0	0
1048	9.680	19.357	0	0
1049	10.125	19.695	0	0
1050	10.580	20.041	0	0
1051	11.045	20.394	0	0
1052	11.520	20.755	0	0
1053	12.005	21.124	0	0
1054	12.500	21.500	0	0
1055	13.005	21.884	0	0
1056	13.520	22.275	0	0
1057	14.045	22.674	0	0
1058	14.580	23.081	0	0
1059	15.125	23.495	0	0
1060	15.680	23.917	0	0
1061	16.245	24.346	0	0
1062	16.820	24.783	0	0
1063	17.405	25.228	0	0
1064	18.000	25.680	0	0
1065	18.605	26.140	0	0
1066	19.220	26.607	0	0
1067	19.845	27.082	0	0
1068	20.480	27.565	0	0
1069	21.125	28.055	0	0
1070	21.780	28.553	0	0
1071	22.445	29.058	0	0
1072	23.120	29.571	0	0
1073	23.805	30.092	0	0
1074	24.500	30.620	0	0
1075	25.205	31.156	0	0
1076	25.920	31.699	0	0
1077	26.645	32.250	0	0
1078	27.380	32.809	0	0
1079	28.125	33.375	0	0
1080	28.880	33.949	0	0
1081	29.645	34.530	0	0
1082	30.420	35.119	0	0
1083	31.205	35.716	0	0
1084	32.000	36.320	0	0
1085	32.805	36.932	0	0
1086	33.620	37.551	0	0
1087	34.445	38.178	0	0
1088	35.280	38.813	0	0
1089	36.125	39.455	0	0
1090	36.980	40.105	0	0
1091	37.845	40.762	0	0
1092	38.720	41.427	0	0
1093	39.605	42.100	0	0
1094	40.500	42.780	0	0
1095	41.405	43.468	0	0
1096	42.320	44.163	0	0
1097	43.245	44.866	0	0
1098	44.180	45.577	0	0
1099	45.125	46.295	0	0
1100	46.080	47.021	0	0
1101	47.045	47.754	0	0
1102	48.020	48.495	0	0
1103	49.005	49.244	0	0
1104	50.000	50.000	0	0
1105	51.000	50.760	0	0
1106	52.000	51.520	0	0
1107	53.000	52.280	0	0
1108	54.000	53.040	0	0
1109	55.000	53.800	0	0
1110	56.000	54.560	0	0
1111	57.000	55.320	0	0
1112	58.000	56.080	0	0
1113	59.000	56.840	0	0
1114	60.000	57.600	0	0
1115	61.000	58.360	0	0
1116	62.000	59.120	0	0
1117	63.000	59.880	0	0
1118	64.000	60.640	0	0
1119	65.000	61.400	0	0
1120	66.000	62.160	0	0
1121	67.000	62.920	0	0
1122	68.000	63.680	0	0
1123	69.000	64.440	0	0
1124	70.000	65.200	0	0
1125	71.000	65.960	0	0
1126	72.000	66.720	0	0
1127	73.000	67.480	0	0
1128	74.000	68.240	0	0
1129	75.000	69.000	0	0
1130	76.000	69.760	0	0
1131	77.000	70.520	0	0
1132	78.000	71.280	0	0
1133	79.000	72.040	0	0
1134	80.000	72.800	0	0
1135	81.000	73.560	0	0
1136	82.000	74.320	0	0
1137	83.000	75.080	0	0
1138	84.000	75.840	0	0
1139	85.000	76.600	0	0
1140	86.000	77.360	0	0
1141	87.000	78.120	0	0
1142	88.000	78.880	0	0
1143	89.000	79.640	0	0
1144	90.000	80.400	0	0
1145	91.000	81.160	0	0
1146	92.000	81.920	0	0
1147	93.000	82.680	0	0
1148	94.000	83.440	0	0
1149	95.000	84.200	0	0
1150	96.000	84.960	0	0
1151	97.000	85.720	0	0
1152	98.000	86.480	0	0
1153	99.000	87.240	0	0
1154	100.000	88.000	0	0
1155	101.000	89.280	0	0
1156	102.000	90.560	0	0
1157	103.000	91.840	0	0
1158	104.000	93.120	0	0
1159	105.000	94.400	0	0
1160	106.000	95.680	0	0
1161	107.000	96.960	0	0
1162	108.000	98.240	0	0
1163	109.000	99.520	0	0
1164	110.000	100.800	0	0
1165	111.000	102.080	0	0
1166	112.000	103.360	0	0
1167	113.000	104.640	0	0
1168	114.000	105.920	0	0
1169	115.000	107.200	0	0
1170	116.000	108.480	0	0
1171	117.000	109.760	0	0
1172	118.000	111.040	0	0
1173	119.000	112.320	0	0
1174	120.000	113.600	0	0
1175	121.000	114.880	0	0
1176	122.000	116.160	0	0
1177	123.000	117.440	0	0
1178	124.000	118.720	0	0
1179	125.000	120.000	0	0
1180	126.000	121.280	0	0
1181	127.000	122.560	0	0
1182	128.000	123.840	0	0
1183	129.000	125.120	0	0
1184	130.000	126.400	0	0
1185	131.000	127.680	0	0
1186	132.000	128.960	0	0
1187	133.000	130.240	0	0
1188	134.000	131.520	0	0
1189	135.000	132.800	0	0
1190	136.000	134.080	0	0
1191	137.000	135.360	0	0
1192	138.000	136.640	0	0
1193	139.000	137.920	0	0
1194	140.000	139.200	0	0
1195	141.000	140.480	0	0
1196	142.000	141.760	0	0
1197	143.000	143.040	0	0
1198	144.000	144.320	0	0
1199	145.000	145.600	0	0
1200	146.000	146.880	0	0
1201	147.000	148.160	0	0
1202	148.000	149.440	0	0
1203	149.000	150.720	0	0
1204	150.000	152.000	0	0
1205	151.000	153.280	0	0
1206	152.000	154.560	0	0
1207	153.000	155.840	0	0
1208	154.000	157.120	0	0
1209	155.000	158.400	0	0
1210	156.000	159.680	0	0
1211	157.000	160.960	0	0
1212	158.000	162.240	0	0
1213	159.000	163.520	0	0
1214	160.000	164.800	0	0
1215	161.000	166.080	0	0
1216	162.000	167.360	0	0
1217	163.000	168.640	0	0
1218	164.000	169.920	0	0
1219	165.000	171.200	0	0
1220	166.000	172.480	0	0
1221	167.000	173.760	0	0
1222	168.000	175.040	0	0
1223	169.000	176.320	0	0
1224	170.000	177.600	0	0
1225	171.000	178.880	0	0
1226	172.000	180.160	0	0
1227	173.000	181.440	0	0
1228	174.000	182.720	0	0
1229	175.000	184.000	0	0
1230	176.000	185.280	0	0
1231	177.000	186.560	0	0
1232	178.000	187.840	0	0
1233	179.000	189.120	0	0
1234	180.000	190.400	0	0
1235	181.000	191.680	0	0
1236	182.000	192.960	0	0
1237	183.000	194.240	0	0
1238	184.000	195.520	0	0
1239	185.000	196.800	0	0
1240	186.000	198.080	0	0
1241	187.000	199.360	0	0
1242	188.000	200.640	0	0
1243	189.000	201.920	0	0
1244	190.000	203.200	0	0
1245	191.000	204.480	0	0
1246	192.000	205.760	0	0
1247	193.000	207.040	0	0
1248	194.000	208.320	0	0
1249	195.000	209.600	0	0
1250	196.000	210.880	0	0
1251	197.000	212.160	0	0
1252	198.000	213.440	0	0
1253	199.000	214.720	0	0
1254	200.000	216.000	0	0
1255	201.000	216.680	0	0
1256	202.000	217.360	0	0
1257	203.000	218.040	0	0
1258	204.000	218.720	0	0
1259	205.000	219.400	0	0
1260	206.000	220.080	0	0
1261	207.000	220.760	0	0
1262	208.000	221.440	0	0
1263	209.000	222.120	0	0
