CYCLE	CMDPOS4	CMPCMDPOS4	out_0.0	in_0.0
1245	0.000	0.000	0	0
1246	0.000	0.000	0	0
1247	0.000	0.000	0	0
1248	0.000	0.000	0	0
1249	0.000	0.000	0	0
1250	0.000	0.000	0	0
1251	0.000	0.000	0	0
1252	0.000	0.000	0	0
1253	0.000	0.000	0	0
1254	0.000	12.000	0	0
1255	0.005	12.004	0	0
1256	0.020	12.015	0	0
1257	0.045	12.034	0	0
1258	0.080	12.061	0	0
1259	0.125	12.095	0	0
1260	0.180	12.137	0	0
1261	0.245	12.186	0	0
1262	0.320	12.243	0	0
1263	0.405	12.308	0	0
1264	0.500	12.380	0	0
1265	0.605	12.460	0	0
1266	0.720	12.547	0	0
1267	0.845	12.642	0	0
1268	0.980	12.745	0	0
1269	1.125	12.855	0	0
1270	1.280	12.973	0	0
1271	1.445	13.098	0	0
1272	1.620	13.231	0	0
1273	1.805	13.372	0	0
1274	2.000	13.520	0	0
1275	2.205	13.676	0	0
1276	2.420	13.839	0	0
1277	2.645	14.010	0	0
1278	2.880	14.189	0	0
1279	3.125	14.375	0	0
1280	3.380	14.569	0	0
1281	3.645	14.770	0	0
1282	3.920	14.979	0	0
1283	4.205	15.196	0	0
1284	4.500	15.420	0	0
1285	4.805	15.652	0	0
1286	5.120	15.891	0	0
1287	5.445	16.138	0	0
1288	5.780	16.393	0	0
1289	6.125	16.655	0	0
1290	6.480	16.925	0	0
1291	6.845	17.202	0	0
1292	7.220	17.487	0	0
1293	7.605	17.780	0	0
1294	8.000	18.080	0	0
1295	8.405	18.388	0	0
1296	8.820	18.703	0	0
1297	9.245	19.026	0	0
1298	9.680	19.357	0	0
1299	10.125	19.695	0	0
1300	10.580	20.041	0	0
1301	11.045	20.394	0	0
1302	11.520	20.755	0	0
1303	12.005	21.124	0	0
1304	12.500	21.500	0	0
1305	13.005	21.884	0	0
1306	13.520	22.275	0	0
1307	14.045	22.674	0	0
1308	14.580	23.081	0	0
1309	15.125	23.495	0	0
1310	15.680	23.917	0	0
1311	16.245	24.346	0	0
1312	16.820	24.783	0	0
1313	17.405	25.228	0	0
1314	18.000	25.680	0	0
1315	18.605	26.140	0	0
1316	19.220	26.607	0	0
1317	19.845	27.082	0	0
1318	20.480	27.565	0	0
1319	21.125	28.055	0	0
1320	21.780	28.553	0	0
1321	22.445	29.058	0	0
1322	23.120	29.571	0	0
1323	23.805	30.092	0	0
1324	24.500	30.620	0	0
1325	25.205	31.156	0	0
1326	25.920	31.699	0	0
1327	26.645	32.250	0	0
1328	27.380	32.809	0	0
1329	28.125	33.375	0	0
1330	28.880	33.949	0	0
1331	29.645	34.530	0	0
1332	30.420	35.119	0	0
1333	31.205	35.716	0	0
1334	32.000	36.320	0	0
1335	32.805	36.932	0	0
1336	33.620	37.551	0	0
1337	34.445	38.178	0	0
1338	35.280	38.813	0	0
1339	36.125	39.455	0	0
1340	36.980	40.105	0	0
1341	37.845	40.762	0	0
1342	38.720	41.427	0	0
1343	39.605	42.100	0	0
1344	40.500	42.780	0	0
