CYCLE	CMDPOS4	CMPCMDPOS4	out_0.0	in_0.0
1225	0.000	0.000	0	0
1226	0.000	0.000	0	0
1227	0.000	0.000	0	0
1228	0.000	0.000	0	0
1229	0.000	0.000	0	0
1230	0.000	0.000	0	0
1231	0.000	0.000	0	0
1232	0.000	0.000	0	0
1233	0.000	12.000	0	0
1234	0.005	12.004	0	0
1235	0.020	12.015	0	0
1236	0.045	12.034	0	0
1237	0.080	12.061	0	0
1238	0.125	12.095	0	0
1239	0.180	12.137	0	0
1240	0.245	12.186	0	0
1241	0.320	12.243	0	0
1242	0.405	12.308	0	0
1243	0.500	12.380	0	0
1244	0.605	12.460	0	0
1245	0.720	12.547	0	0
1246	0.845	12.642	0	0
1247	0.980	12.745	0	0
1248	1.125	12.855	0	0
1249	1.280	12.973	0	0
1250	1.445	13.098	0	0
1251	1.620	13.231	0	0
1252	1.805	13.372	0	0
1253	2.000	13.520	0	0
1254	2.205	13.676	0	0
1255	2.420	13.839	0	0
1256	2.645	14.010	0	0
1257	2.880	14.189	0	0
1258	3.125	14.375	0	0
1259	3.380	14.569	0	0
1260	3.645	14.770	0	0
1261	3.920	14.979	0	0
1262	4.205	15.196	0	0
1263	4.500	15.420	0	0
1264	4.805	15.652	0	0
1265	5.120	15.891	0	0
1266	5.445	16.138	0	0
1267	5.780	16.393	0	0
1268	6.125	16.655	0	0
1269	6.480	16.925	0	0
1270	6.845	17.202	0	0
1271	7.220	17.487	0	0
1272	7.605	17.780	0	0
1273	8.000	18.080	0	0
1274	8.405	18.388	0	0
1275	8.820	18.703	0	0
1276	9.245	19.026	0	0
1277	9.680	19.357	0	0
1278	10.125	19.695	0	0
1279	10.580	20.041	0	0
1280	11.045	20.394	0	0
1281	11.520	20.755	0	0
1282	12.005	21.124	0	0
1283	12.500	21.500	0	0
1284	13.005	21.884	0	0
1285	13.520	22.275	0	0
1286	14.045	22.674	0	0
1287	14.580	23.081	0	0
1288	15.125	23.495	0	0
1289	15.680	23.917	0	0
1290	16.245	24.346	0	0
1291	16.820	24.783	0	0
1292	17.405	25.228	0	0
1293	18.000	25.680	0	0
1294	18.605	26.140	0	0
1295	19.220	26.607	0	0
1296	19.845	27.082	0	0
1297	20.480	27.565	0	0
1298	21.125	28.055	0	0
1299	21.780	28.553	0	0
1300	22.445	29.058	0	0
1301	23.120	29.571	0	0
1302	23.805	30.092	0	0
1303	24.500	30.620	0	0
1304	25.205	31.156	0	0
1305	25.920	31.699	0	0
1306	26.645	32.250	0	0
1307	27.380	32.809	0	0
1308	28.125	33.375	0	0
1309	28.880	33.949	0	0
1310	29.645	34.530	0	0
1311	30.420	35.119	0	0
1312	31.205	35.716	0	0
1313	32.000	36.320	0	0
1314	32.805	36.932	0	0
1315	33.620	37.551	0	0
1316	34.445	38.178	0	0
1317	35.280	38.813	0	0
1318	36.125	39.455	0	0
1319	36.980	40.105	0	0
1320	37.845	40.762	0	0
1321	38.720	41.427	0	0
1322	39.605	42.100	0	0
1323	40.500	42.780	0	0
1324	41.405	43.468	0	0
1325	42.320	44.163	0	0
1326	43.245	44.866	0	0
1327	44.180	45.577	0	0
1328	45.125	46.295	0	0
1329	46.080	47.021	0	0
1330	47.045	47.754	0	0
1331	48.020	48.495	0	0
1332	49.005	49.244	0	0
1333	50.000	50.000	0	0
1334	51.000	50.760	0	0
1335	52.000	51.520	0	0
1336	53.000	52.280	0	0
1337	54.000	53.040	0	0
1338	55.000	53.800	0	0
1339	56.000	54.560	0	0
1340	57.000	55.320	0	0
1341	58.000	56.080	0	0
1342	59.000	56.840	0	0
1343	60.000	57.600	0	0
1344	61.000	58.360	0	0
1345	62.000	59.120	0	0
1346	63.000	59.880	0	0
1347	64.000	60.640	0	0
1348	65.000	61.400	0	0
1349	66.000	62.160	0	0
1350	67.000	62.920	0	0
1351	68.000	63.680	0	0
1352	69.000	64.440	0	0
1353	70.000	65.200	0	0
1354	71.000	65.960	0	0
1355	72.000	66.720	0	0
1356	73.000	67.480	0	0
1357	74.000	68.240	0	0
1358	75.000	69.000	0	0
1359	76.000	69.760	0	0
1360	77.000	70.520	0	0
1361	78.000	71.280	0	0
1362	79.000	72.040	0	0
1363	80.000	72.800	0	0
1364	81.000	73.560	0	0
1365	82.000	74.320	0	0
1366	83.000	75.080	0	0
1367	84.000	75.840	0	0
1368	85.000	76.600	0	0
1369	86.000	77.360	0	0
1370	87.000	78.120	0	0
1371	88.000	78.880	0	0
1372	89.000	79.640	0	0
1373	90.000	80.400	0	0
1374	91.000	81.160	0	0
1375	92.000	81.920	0	0
1376	93.000	82.680	0	0
1377	94.000	83.440	0	0
1378	95.000	84.200	0	0
1379	96.000	84.960	0	0
1380	97.000	85.720	0	0
1381	98.000	86.480	0	0
1382	99.000	87.240	0	0
1383	100.000	88.000	0	0
1384	101.000	89.280	0	0
1385	102.000	90.560	0	0
1386	103.000	91.840	0	0
1387	104.000	93.120	0	0
1388	105.000	94.400	0	0
1389	106.000	95.680	0	0
1390	107.000	96.960	0	0
1391	108.000	98.240	0	0
1392	109.000	99.520	0	0
1393	110.000	100.800	0	0
1394	111.000	102.080	0	0
1395	112.000	103.360	0	0
1396	113.000	104.640	0	0
1397	114.000	105.920	0	0
1398	115.000	107.200	0	0
1399	116.000	108.480	0	0
1400	117.000	109.760	0	0
1401	118.000	111.040	0	0
1402	119.000	112.320	0	0
1403	120.000	113.600	0	0
1404	121.000	114.880	0	0
1405	122.000	116.160	0	0
1406	123.000	117.440	0	0
1407	124.000	118.720	0	0
1408	125.000	120.000	0	0
1409	126.000	121.280	0	0
1410	127.000	122.560	0	0
1411	128.000	123.840	0	0
1412	129.000	125.120	0	0
1413	130.000	126.400	0	0
1414	131.000	127.680	0	0
1415	132.000	128.960	0	0
1416	133.000	130.240	0	0
1417	134.000	131.520	0	0
1418	135.000	132.800	0	0
1419	136.000	134.080	0	0
1420	137.000	135.360	0	0
1421	138.000	136.640	0	0
1422	139.000	137.920	0	0
1423	140.000	139.200	0	0
1424	141.000	140.480	0	0
1425	142.000	141.760	0	0
1426	143.000	143.040	0	0
1427	144.000	144.320	0	0
1428	145.000	145.600	0	0
1429	146.000	146.880	0	0
