CYCLE	CMDPOS4	CMPCMDPOS4	out_0.0	in_0.0
1295	0.000	0.000	0	0
1296	0.000	0.000	0	0
1297	0.000	0.000	0	0
1298	0.000	0.000	0	0
1299	0.000	0.000	0	0
1300	0.000	0.000	0	0
1301	0.000	0.000	0	0
1302	0.000	0.000	0	0
1303	0.000	0.000	0	0
1304	0.000	2.000	0	0
1305	0.005	2.006	0	0
1306	0.020	2.024	0	0
1307	0.045	2.054	0	0
1308	0.080	2.096	0	0
1309	0.125	2.150	0	0
1310	0.180	2.216	0	0
1311	0.244	2.293	0	0
1312	0.319	2.383	0	0
1313	0.404	2.485	0	0
1314	0.499	2.599	0	0
1315	0.604	2.724	0	0
1316	0.718	2.862	0	0
1317	0.843	3.012	0	0
1318	0.978	3.173	0	0
1319	1.122	3.347	0	0
1320	1.277	3.533	0	0
1321	1.442	3.730	0	0
1322	1.616	3.940	0	0
1323	1.801	4.161	0	0
1324	1.995	4.395	0	0
1325	2.200	4.640	0	0
1326	2.415	4.897	0	0
1327	2.639	5.167	0	0
1328	2.873	5.448	0	0
1329	3.118	5.741	0	0
1330	3.372	6.047	0	0
1331	3.637	6.364	0	0
1332	3.911	6.693	0	0
1333	4.195	7.035	0	0
1334	4.490	7.388	0	0
1335	4.794	7.753	0	0
1336	5.108	8.130	0	0
1337	5.433	8.519	0	0
1338	5.767	8.920	0	0
1339	6.111	9.333	0	0
1340	6.465	9.758	0	0
1341	6.829	10.195	0	0
1342	7.204	10.644	0	0
1343	7.588	11.105	0	0
1344	7.982	11.578	0	0
1345	8.386	12.063	0	0
1346	8.800	12.560	0	0
1347	9.224	13.069	0	0
1348	9.658	13.590	0	0
1349	10.102	14.122	0	0
1350	10.556	14.667	0	0
1351	11.020	15.224	0	0
1352	11.494	15.793	0	0
1353	11.978	16.373	0	0
1354	12.472	16.966	0	0
1355	12.976	17.571	0	0
1356	13.489	18.187	0	0
1357	14.013	18.816	0	0
1358	14.547	19.456	0	0
1359	15.091	20.109	0	0
1360	15.644	20.773	0	0
1361	16.208	21.450	0	0
1362	16.782	22.138	0	0
1363	17.366	22.839	0	0
1364	17.959	23.551	0	0
1365	18.563	24.275	0	0
1366	19.176	25.012	0	0
1367	19.800	25.760	0	0
1368	20.434	26.520	0	0
1369	21.077	27.293	0	0
1370	21.731	28.077	0	0
1371	22.394	28.873	0	0
1372	23.068	29.681	0	0
1373	23.751	30.501	0	0
1374	24.444	31.333	0	0
1375	25.148	32.177	0	0
1376	25.861	33.033	0	0
1377	26.585	33.901	0	0
1378	27.318	34.781	0	0
1379	28.061	35.673	0	0
1380	28.815	36.577	0	0
1381	29.578	37.493	0	0
1382	30.351	38.421	0	0
1383	31.134	39.361	0	0
1384	31.927	40.313	0	0
1385	32.731	41.277	0	0
1386	33.544	42.253	0	0
1387	34.367	43.240	0	0
1388	35.200	44.240	0	0
1389	36.043	45.252	0	0
1390	36.896	46.275	0	0
1391	37.759	47.311	0	0
1392	38.632	48.359	0	0
1393	39.515	49.418	0	0
1394	40.408	50.490	0	0
1395	41.311	51.573	0	0
1396	42.224	52.669	0	0
1397	43.147	53.776	0	0
1398	44.080	54.896	0	0
1399	45.023	56.027	0	0
1400	45.976	57.171	0	0
1401	46.938	58.326	0	0
1402	47.911	59.493	0	0
1403	48.894	60.673	0	0
1404	49.887	61.864	0	0
1405	50.889	63.067	0	0
1406	51.902	64.282	0	0
1407	52.925	65.510	0	0
1408	53.957	66.749	0	0
1409	55.000	68.000	0	0
1410	56.043	69.251	0	0
1411	57.075	70.490	0	0
1412	58.098	71.718	0	0
1413	59.111	72.933	0	0
1414	60.113	74.136	0	0
1415	61.106	75.327	0	0
1416	62.089	76.507	0	0
1417	63.062	77.674	0	0
1418	64.024	78.829	0	0
1419	64.977	79.973	0	0
1420	65.920	81.104	0	0
1421	66.853	82.224	0	0
1422	67.776	83.331	0	0
1423	68.689	84.427	0	0
1424	69.592	85.510	0	0
1425	70.485	86.582	0	0
1426	71.368	87.641	0	0
1427	72.241	88.689	0	0
1428	73.104	89.725	0	0
1429	73.957	90.748	0	0
1430	74.800	91.760	0	0
1431	75.633	92.760	0	0
1432	76.456	93.747	0	0
1433	77.269	94.723	0	0
1434	78.073	95.687	0	0
1435	78.866	96.639	0	0
1436	79.649	97.579	0	0
1437	80.422	98.507	0	0
1438	81.185	99.423	0	0
1439	81.939	100.327	0	0
1440	82.682	101.219	0	0
1441	83.415	102.099	0	0
1442	84.139	102.967	0	0
1443	84.852	103.823	0	0
1444	85.556	104.667	0	0
1445	86.249	105.499	0	0
1446	86.932	106.319	0	0
1447	87.606	107.127	0	0
1448	88.269	107.923	0	0
1449	88.923	108.707	0	0
1450	89.566	109.480	0	0
1451	90.200	109.600	0	0
1452	90.824	108.353	0	0
1453	91.437	107.126	0	0
1454	92.041	105.918	0	0
1455	92.634	104.731	0	0
1456	93.218	103.564	0	0
1457	93.792	102.416	0	0
1458	94.356	101.289	0	0
1459	94.909	100.181	0	0
1460	95.453	99.094	0	0
1461	95.987	98.026	0	0
1462	96.511	96.979	0	0
1463	97.024	95.951	0	0
1464	97.528	94.943	0	0
1465	98.022	93.956	0	0
1466	98.506	92.988	0	0
1467	98.980	92.040	0	0
1468	99.444	91.112	0	0
1469	99.898	90.204	0	0
1470	100.342	90.342	0	0
1471	100.776	90.776	0	0
1472	101.200	91.200	0	0
1473	101.614	91.614	0	0
1474	102.018	92.018	0	0
1475	102.412	92.412	0	0
1476	102.796	92.796	0	0
1477	103.171	93.171	0	0
1478	103.535	93.535	0	0
1479	103.889	93.889	0	0
1480	104.233	94.233	0	0
1481	104.567	94.567	0	0
1482	104.892	94.892	0	0
1483	105.206	95.206	0	0
1484	105.510	95.510	0	0
1485	105.805	95.805	0	0
1486	106.089	96.089	0	0
1487	106.363	96.363	0	0
1488	106.628	96.628	0	0
1489	106.882	96.882	0	0
1490	107.127	97.127	0	0
1491	107.361	97.361	0	0
1492	107.585	97.585	0	0
1493	107.800	97.800	0	0
1494	108.005	98.005	0	0
1495	108.199	98.199	0	0
1496	108.384	98.384	0	0
1497	108.558	98.558	0	0
1498	108.723	98.723	0	0
1499	108.878	98.878	0	0
1500	109.022	99.022	0	0
1501	109.157	99.157	0	0
1502	109.282	99.282	0	0
1503	109.396	99.396	0	0
1504	109.501	99.501	0	0
1505	109.596	99.596	0	0
1506	109.681	99.681	0	0
1507	109.756	99.756	0	0
1508	109.820	99.820	0	0
1509	109.875	99.875	0	0
1510	109.920	99.920	0	0
1511	109.955	99.955	0	0
1512	109.980	99.980	0	0
1513	109.995	99.995	0	0
1514	110.000	100.000	0	0
1515	110.000	100.000	0	0
1516	110.000	100.000	0	0
1517	110.000	100.000	0	0
1518	110.000	100.000	0	0
1519	110.000	100.000	0	0
1520	110.000	100.000	0	0
1521	110.000	100.000	0	0
1522	110.000	100.000	0	0
1523	110.000	100.000	0	0
1524	110.000	100.000	0	0
1525	110.000	100.000	0	0
1526	110.000	100.000	0	0
1527	110.000	100.000	0	0
1528	110.000	100.000	0	0
1529	110.000	100.000	0	0
1530	110.000	100.000	0	0
1531	110.000	100.000	0	0
1532	110.000	100.000	0	0
1533	110.000	100.000	0	0
1534	110.000	100.000	0	0
1535	110.000	100.000	0	0
1536	110.000	100.000	0	0
1537	110.000	100.000	0	0
1538	110.000	100.000	0	0
1539	110.000	100.000	0	0
1540	110.000	100.000	0	0
1541	110.000	100.000	0	0
1542	110.000	100.000	0	0
1543	110.000	100.000	0	0
1544	110.000	100.000	0	0
1545	110.000	100.000	0	0
1546	110.000	100.000	0	0
1547	110.000	100.000	0	0
1548	110.000	100.000	0	0
1549	110.000	100.000	0	0
1550	110.000	100.000	0	0
1551	110.000	100.000	0	0
1552	110.000	100.000	0	0
1553	110.000	100.000	0	0
1554	110.000	100.000	0	0
1555	110.000	100.000	0	0
1556	110.000	100.000	0	0
1557	110.000	100.000	0	0
1558	110.000	100.000	0	0
1559	110.000	100.000	0	0
1560	110.000	100.000	0	0
1561	110.000	100.000	0	0
1562	110.000	100.000	0	0
1563	110.000	100.000	0	0
1564	110.000	100.000	0	0
1565	110.000	100.000	0	0
1566	110.000	100.000	0	0
1567	110.000	100.000	0	0
1568	110.000	100.000	0	0
1569	110.000	100.000	0	0
1570	110.000	100.000	0	0
1571	110.000	100.000	0	0
1572	110.000	100.000	0	0
1573	110.000	100.000	0	0
1574	110.000	100.000	0	0
1575	110.000	100.000	0	0
1576	110.000	100.000	0	0
1577	110.000	100.000	0	0
1578	110.000	100.000	0	0
1579	110.000	100.000	0	0
1580	110.000	100.000	0	0
1581	110.000	100.000	0	0
1582	110.000	100.000	0	0
1583	110.000	100.000	0	0
1584	110.000	100.000	0	0
1585	110.000	100.000	0	0
1586	110.000	100.000	0	0
1587	110.000	100.000	0	0
1588	110.000	100.000	0	0
1589	110.000	100.000	0	0
