CYCLE	CMDPOS0
1594	0
1595	0
1596	0
1597	0
1598	0
1599	0
1600	0
1601	0
1602	0
1603	0
1604	1
1605	1
1606	1
1607	1
1608	1
1609	1
1610	1
1611	1
1612	2
1613	2
1614	2
1615	2
1616	2
1617	3
1618	3
1619	3
1620	3
1621	4
1622	4
1623	4
1624	5
1625	5
1626	5
1627	5
1628	6
1629	6
1630	6
1631	7
1632	7
1633	8
1634	8
1635	8
1636	9
1637	9
1638	10
1639	10
1640	11
1641	11
1642	12
1643	12
1644	13
1645	13
1646	14
1647	14
1648	15
1649	15
1650	16
1651	16
1652	17
1653	17
1654	18
1655	19
1656	19
1657	20
1658	20
1659	21
1660	22
1661	22
1662	23
1663	24
1664	25
1665	25
1666	26
1667	27
1668	27
1669	28
1670	29
1671	30
1672	30
1673	31
1674	32
1675	33
1676	34
1677	34
1678	35
1679	36
1680	37
1681	38
1682	39
1683	40
1684	41
1685	41
1686	42
1687	43
1688	44
1689	45
1690	46
1691	47
1692	48
1693	49
1694	50
1695	51
1696	52
1697	53
1698	54
1699	55
1700	56
1701	57
1702	58
1703	59
1704	60
1705	61
1706	62
1707	63
1708	64
1709	65
1710	66
1711	67
1712	68
1713	69
1714	70
1715	71
1716	72
1717	73
1718	74
1719	75
1720	76
1721	77
1722	78
1723	79
1724	80
1725	81
1726	82
1727	83
1728	84
1729	85
1730	86
1731	87
1732	88
1733	89
1734	90
1735	91
1736	92
1737	93
1738	94
1739	95
1740	96
1741	97
1742	98
1743	99
1744	100
1745	101
1746	102
1747	103
1748	104
1749	105
1750	106
1751	107
1752	108
1753	109
1754	110
1755	111
1756	112
1757	113
1758	114
1759	115
1760	116
1761	117
1762	118
1763	119
1764	120
1765	121
1766	122
1767	123
1768	124
1769	125
1770	126
1771	127
1772	128
1773	129
1774	130
1775	131
1776	132
1777	133
1778	134
1779	135
1780	136
1781	137
1782	138
1783	139
1784	140
1785	140
1786	141
1787	142
1788	143
1789	144
1790	145
1791	146
1792	146
1793	147
1794	148
1795	149
1796	150
1797	150
1798	151
1799	152
1800	153
1801	153
1802	154
1803	155
1804	156
1805	156
1806	157
1807	158
1808	158
1809	159
1810	160
1811	160
1812	161
1813	161
1814	162
1815	163
1816	163
1817	164
1818	164
1819	165
1820	165
1821	166
1822	166
1823	167
1824	168
1825	168
1826	168
1827	169
1828	169
1829	170
1830	170
1831	171
1832	171
1833	172
1834	172
1835	172
1836	173
1837	173
1838	174
1839	174
1840	174
1841	175
1842	175
1843	175
1844	176
1845	176
1846	176
1847	176
1848	177
1849	177
1850	177
1851	177
1852	178
1853	178
1854	178
1855	178
1856	178
1857	179
1858	179
1859	179
1860	179
1861	179
1862	179
1863	179
1864	180
1865	180
1866	180
1867	180
1868	180
1869	180
1870	180
1871	180
1872	180
1873	180
1874	180
1875	180
