CYCLE	out_0.0	in_0.0
17669	0	0
17670	0	0
17671	0	0
17672	0	0
17673	0	0
17674	0	0
17675	0	0
17676	0	0
17677	0	0
17678	0	0
17679	0	0
17680	0	0
17681	0	0
17682	0	0
17683	0	0
17684	0	0
17685	0	0
17686	0	0
17687	0	0
17688	0	0
17689	0	0
17690	0	0
17691	0	0
17692	0	0
17693	0	0
17694	0	0
17695	0	0
17696	0	0
17697	0	0
17698	0	0
17699	0	0
17700	0	0
17701	0	0
17702	0	0
17703	0	0
17704	0	0
17705	0	0
17706	0	0
17707	0	0
17708	0	0
17709	0	0
17710	0	0
17711	0	0
17712	0	0
17713	0	0
17714	0	0
17715	0	0
17716	0	0
17717	0	0
17718	0	0
17719	0	0
17720	0	0
17721	0	0
17722	0	0
17723	0	0
17724	0	0
17725	0	0
17726	0	0
17727	0	0
17728	0	0
17729	0	0
17730	0	0
17731	0	0
17732	0	0
17733	0	0
17734	0	0
17735	0	0
17736	0	0
17737	0	0
17738	0	0
17739	0	0
17740	0	0
17741	0	0
17742	0	0
17743	0	0
17744	0	0
17745	0	0
17746	0	0
17747	0	0
17748	0	0
17749	0	0
17750	0	0
17751	0	0
17752	0	0
17753	0	0
17754	0	0
17755	0	0
17756	0	0
17757	0	0
17758	0	0
17759	0	0
17760	0	0
17761	0	0
17762	0	0
17763	0	0
17764	0	0
17765	0	0
17766	0	0
17767	0	0
17768	0	0
17769	0	0
17770	0	0
17771	0	0
17772	0	0
17773	0	0
17774	0	0
17775	0	0
17776	0	0
17777	0	0
17778	0	0
17779	0	0
17780	0	0
17781	0	0
17782	0	0
17783	0	0
17784	0	0
17785	0	0
17786	0	0
17787	0	0
17788	0	0
17789	0	0
17790	0	0
17791	0	0
17792	0	0
17793	0	0
17794	0	0
17795	0	0
17796	0	0
17797	0	0
17798	0	0
17799	0	0
17800	0	0
17801	0	0
17802	0	0
17803	0	0
17804	0	0
17805	0	0
17806	0	0
17807	0	0
17808	0	0
17809	0	0
17810	0	0
17811	0	0
17812	0	0
17813	0	0
17814	0	0
17815	0	0
17816	0	0
17817	0	0
17818	0	0
17819	0	0
17820	0	0
17821	0	0
17822	0	0
17823	0	0
17824	0	0
17825	0	0
17826	0	0
17827	0	0
17828	0	0
17829	0	0
17830	0	0
17831	0	0
17832	0	0
17833	0	0
17834	0	0
17835	0	0
17836	0	0
17837	0	0
17838	0	0
17839	0	0
17840	0	0
17841	0	0
17842	0	0
17843	0	0
17844	0	0
17845	0	0
17846	0	0
17847	0	0
17848	0	0
17849	0	0
17850	0	0
17851	0	0
17852	0	0
17853	0	0
17854	0	0
17855	0	0
17856	0	0
17857	0	0
17858	0	0
17859	0	0
17860	0	0
17861	0	0
17862	0	0
17863	0	0
17864	0	0
17865	0	0
17866	0	0
17867	0	0
17868	0	0
17869	0	0
17870	0	0
17871	0	0
17872	0	0
17873	0	0
17874	0	0
17875	0	0
17876	0	0
17877	0	0
17878	0	0
17879	0	0
17880	0	0
17881	0	0
17882	0	0
17883	0	0
17884	0	0
17885	0	0
17886	0	0
17887	0	0
17888	0	0
17889	0	0
17890	0	0
17891	0	0
17892	0	0
17893	0	0
17894	0	0
17895	0	0
17896	0	0
17897	0	0
17898	0	0
17899	0	0
17900	0	0
17901	0	0
17902	0	0
17903	0	0
17904	0	0
17905	0	0
17906	0	0
17907	0	0
17908	0	0
17909	0	0
17910	0	0
17911	0	0
17912	0	0
17913	0	0
17914	0	0
17915	0	0
17916	0	0
17917	0	0
17918	0	0
17919	0	0
17920	0	0
17921	0	0
17922	0	0
17923	0	0
17924	0	0
17925	0	0
17926	0	0
17927	0	0
17928	0	0
17929	0	0
17930	0	0
17931	0	0
17932	0	0
17933	0	0
17934	0	0
17935	0	0
17936	0	0
17937	0	0
17938	0	0
17939	0	0
17940	0	0
17941	0	0
17942	0	0
17943	0	0
17944	0	0
17945	0	0
17946	0	0
17947	0	0
17948	0	0
17949	0	0
17950	0	0
17951	0	0
17952	0	0
17953	0	0
17954	0	0
17955	0	0
17956	0	0
17957	0	0
17958	0	0
17959	0	0
17960	0	0
17961	0	0
17962	0	0
17963	0	0
17964	0	0
17965	0	0
17966	0	0
17967	0	0
17968	0	0
17969	0	0
17970	0	0
17971	0	0
17972	0	0
17973	0	0
17974	0	0
17975	0	0
17976	0	0
17977	0	0
17978	0	0
17979	0	0
17980	0	0
17981	0	0
17982	0	0
17983	0	0
17984	0	0
17985	0	0
17986	0	0
17987	0	0
17988	0	0
17989	0	0
17990	0	0
17991	0	0
17992	0	0
17993	0	0
17994	0	0
17995	0	0
17996	0	0
17997	0	0
17998	0	0
17999	0	0
18000	0	0
18001	0	0
18002	0	0
18003	0	0
18004	0	0
18005	0	0
18006	0	0
18007	0	0
18008	0	0
18009	0	0
18010	0	0
18011	0	0
18012	0	0
18013	0	0
18014	0	0
18015	0	0
18016	0	0
18017	0	0
18018	0	0
18019	0	0
18020	0	0
18021	0	0
18022	0	0
18023	0	0
18024	0	0
18025	0	0
18026	0	0
18027	0	0
18028	0	0
18029	0	0
18030	0	0
18031	0	0
18032	0	0
18033	0	0
18034	0	0
18035	0	0
18036	0	0
18037	0	0
18038	0	0
18039	0	0
18040	0	0
18041	0	0
18042	0	0
18043	0	0
