CYCLE	CMDPOS1	CMDPOS2	CMDPOS3	CMDPOS4	out_0.0	in_0.0	
2137	0.000	0.000	0.000	0.000	0	0	
2138	0.000	0.000	0.000	0.000	0	0	
2139	0.000	0.000	0.000	0.000	0	0	
2140	0.000	0.000	0.000	0.000	0	0	
2141	0.000	0.000	0.000	0.000	0	0	
2142	0.000	0.000	0.000	0.000	0	0	
2143	0.000	0.000	0.000	0.000	0	0	
2144	0.000	0.000	0.000	0.000	0	0	
2145	0.000	0.000	0.000	0.000	0	0	
2146	0.000	0.000	0.000	0.000	0	0	
2147	0.000	0.000	0.000	0.000	0	0	
2148	0.000	0.000	0.000	0.000	0	0	
2149	0.000	0.000	0.000	0.000	0	0	
2150	0.000	0.000	0.000	0.000	0	0	
2151	0.000	0.000	0.000	0.000	0	0	
2152	0.000	0.000	0.000	0.000	0	0	
2153	0.000	0.000	0.000	0.000	0	0	
2154	0.000	0.000	0.000	0.000	0	0	
2155	0.000	0.000	0.000	0.000	0	0	
2156	0.000	0.000	0.000	0.000	0	0	
2157	0.000	0.000	0.000	0.000	0	0	
2158	0.000	0.000	0.000	0.000	0	0	
2159	0.000	0.000	0.000	0.000	0	0	
2160	0.000	0.000	0.000	0.000	0	0	
2161	0.000	0.000	0.000	0.000	0	0	
2162	0.000	0.000	0.000	0.000	0	0	
2163	0.000	0.000	0.000	0.000	0	0	
2164	0.000	0.000	0.000	0.000	0	0	
2165	0.000	0.000	0.000	0.000	0	0	
2166	0.000	0.000	0.000	0.000	0	0	
2167	0.000	0.000	0.000	0.000	0	0	
2168	0.000	0.000	0.000	0.000	0	0	
2169	0.000	0.000	0.000	0.000	0	0	
2170	0.000	0.000	0.000	0.000	0	0	
2171	0.000	0.000	0.000	0.000	0	0	
2172	0.000	0.000	0.000	0.000	0	0	
2173	0.000	0.000	0.000	0.000	0	0	
2174	0.000	0.000	0.000	0.000	0	0	
2175	0.000	0.000	0.000	0.000	0	0	
2176	0.000	0.000	0.000	0.000	0	0	
2177	0.000	0.000	0.000	0.000	0	0	
2178	0.000	0.000	0.000	0.000	0	0	
2179	0.000	0.000	0.000	0.000	0	0	
2180	0.000	0.000	0.000	0.000	0	0	
2181	0.000	0.000	0.000	0.000	0	0	
2182	0.000	0.000	0.000	0.000	0	0	
2183	0.000	0.000	0.000	0.000	0	0	
2184	0.000	0.000	0.000	0.000	0	0	
2185	0.000	0.000	0.000	0.000	0	0	
2186	0.000	0.000	0.000	0.000	0	0	
2187	0.000	0.000	0.000	0.000	0	0	
2188	0.000	0.000	0.000	0.000	0	0	
2189	0.000	0.000	0.000	0.000	0	0	
2190	0.000	0.000	0.000	0.000	0	0	
2191	0.000	0.000	0.000	0.000	0	0	
2192	0.000	0.000	0.000	0.000	0	0	
2193	0.000	0.000	0.000	0.000	0	0	
2194	0.000	0.000	0.000	0.000	0	0	
2195	0.000	0.000	0.000	0.000	0	0	
2196	0.000	0.000	0.000	0.000	0	0	
2197	0.000	0.000	0.000	0.000	0	0	
2198	0.000	0.000	0.000	0.000	0	0	
2199	0.000	0.000	0.000	0.000	0	0	
2200	0.000	0.000	0.000	0.000	0	0	
2201	0.000	0.000	0.000	0.000	0	0	
2202	0.000	0.000	0.000	0.000	0	0	
2203	0.000	0.000	0.000	0.000	0	0	
2204	0.000	0.000	0.000	0.000	0	0	
2205	0.000	0.000	0.000	0.000	0	0	
2206	0.000	0.000	0.000	0.000	0	0	
2207	0.000	0.000	0.000	0.000	0	0	
2208	0.000	0.000	0.000	0.000	0	0	
2209	0.000	0.000	0.000	0.000	0	0	
2210	0.000	0.000	0.000	0.000	0	0	
2211	0.000	0.000	0.000	0.000	0	0	
2212	0.000	0.000	0.000	0.000	0	0	
2213	0.000	0.000	0.000	0.000	0	0	
2214	0.000	0.000	0.000	0.000	0	0	
2215	0.000	0.000	0.000	0.000	0	0	
2216	0.000	0.000	0.000	0.000	0	0	
2217	0.000	0.000	0.000	0.000	0	0	
2218	0.000	0.000	0.000	0.000	0	0	
2219	0.001	0.000	0.000	0.000	0	0	
2220	0.002	0.000	0.000	0.000	0	0	
2221	0.004	0.000	0.000	0.000	0	0	
2222	0.008	0.000	0.000	0.000	0	0	
2223	0.014	0.000	0.000	0.000	0	0	
2224	0.023	0.000	0.000	0.000	0	0	
2225	0.034	0.000	0.000	0.000	0	0	
2226	0.049	0.000	0.000	0.000	0	0	
2227	0.067	0.000	0.000	0.000	0	0	
2228	0.089	0.000	0.000	0.000	0	0	
2229	0.115	0.000	0.000	0.000	0	0	
2230	0.146	0.000	0.000	0.000	0	0	
2231	0.183	0.000	0.000	0.000	0	0	
2232	0.225	0.000	0.000	0.000	0	0	
2233	0.273	0.000	0.000	0.000	0	0	
2234	0.328	0.000	0.000	0.000	0	0	
2235	0.389	0.000	0.000	0.000	0	0	
2236	0.457	0.000	0.000	0.000	0	0	
2237	0.533	0.000	0.000	0.000	0	0	
2238	0.617	0.000	0.000	0.000	0	0	
2239	0.710	0.000	0.000	0.000	0	0	
2240	0.811	0.000	0.000	0.000	0	0	
2241	0.922	0.000	0.000	0.000	0	0	
2242	1.042	0.000	0.000	0.000	0	0	
2243	1.172	0.000	0.000	0.000	0	0	
2244	1.312	0.000	0.000	0.000	0	0	
2245	1.463	0.000	0.000	0.000	0	0	
2246	1.626	0.000	0.000	0.000	0	0	
2247	1.800	0.000	0.000	0.000	0	0	
2248	1.986	0.000	0.000	0.000	0	0	
2249	2.185	0.000	0.000	0.000	0	0	
2250	2.396	0.000	0.000	0.000	0	0	
2251	2.620	0.000	0.000	0.000	0	0	
2252	2.858	0.000	0.000	0.000	0	0	
2253	3.110	0.000	0.000	0.000	0	0	
2254	3.377	0.000	0.000	0.000	0	0	
2255	3.658	0.000	0.000	0.000	0	0	
2256	3.955	0.000	0.000	0.000	0	0	
2257	4.267	0.000	0.000	0.000	0	0	
2258	4.595	0.000	0.000	0.000	0	0	
2259	4.939	0.000	0.000	0.000	0	0	
2260	5.300	0.000	0.000	0.000	0	0	
2261	5.679	0.000	0.000	0.000	0	0	
2262	6.075	0.000	0.000	0.000	0	0	
2263	6.489	0.000	0.000	0.000	0	0	
2264	6.922	0.000	0.000	0.000	0	0	
2265	7.373	0.000	0.000	0.000	0	0	
2266	7.843	0.000	0.000	0.000	0	0	
2267	8.333	0.000	0.000	0.000	0	0	
2268	8.843	0.000	0.000	0.000	0	0	
2269	9.373	0.000	0.000	0.000	0	0	
2270	9.922	0.000	0.000	0.000	0	0	
2271	10.489	0.000	0.000	0.000	0	0	
2272	11.075	0.000	0.000	0.000	0	0	
2273	11.679	0.000	0.000	0.000	0	0	
2274	12.300	0.000	0.000	0.000	0	0	
2275	12.939	0.000	0.000	0.000	0	0	
2276	13.595	0.000	0.000	0.000	0	0	
2277	14.267	0.000	0.000	0.000	0	0	
2278	14.955	0.000	0.000	0.000	0	0	
2279	15.658	0.000	0.000	0.000	0	0	
2280	16.377	0.000	0.000	0.000	0	0	
2281	17.110	0.000	0.000	0.000	0	0	
2282	17.858	0.000	0.000	0.000	0	0	
2283	18.620	0.000	0.000	0.000	0	0	
2284	19.396	0.000	0.000	0.000	0	0	
2285	20.185	0.000	0.000	0.000	0	0	
2286	20.986	0.000	0.000	0.000	0	0	
2287	21.800	0.000	0.000	0.000	0	0	
2288	22.626	0.000	0.000	0.000	0	0	
2289	23.463	0.000	0.000	0.000	0	0	
2290	24.312	0.000	0.000	0.000	0	0	
2291	25.172	0.000	0.000	0.000	0	0	
2292	26.042	0.000	0.000	0.000	0	0	
2293	26.922	0.000	0.000	0.000	0	0	
2294	27.811	0.000	0.000	0.000	0	0	
2295	28.710	0.000	0.000	0.000	0	0	
2296	29.617	0.000	0.000	0.000	0	0	
2297	30.533	0.000	0.000	0.000	0	0	
2298	31.457	0.000	0.000	0.000	0	0	
2299	32.389	0.000	0.000	0.000	0	0	
2300	33.328	0.000	0.000	0.000	0	0	
2301	34.273	0.000	0.000	0.000	0	0	
2302	35.225	0.000	0.000	0.000	0	0	
2303	36.183	0.000	0.000	0.000	0	0	
2304	37.146	0.000	0.000	0.000	0	0	
2305	38.115	0.000	0.000	0.000	0	0	
2306	39.089	0.000	0.000	0.000	0	0	
2307	40.067	0.000	0.000	0.000	0	0	
2308	41.049	0.000	0.000	0.000	0	0	
2309	42.034	0.000	0.000	0.000	0	0	
2310	43.023	0.000	0.000	0.000	0	0	
2311	44.014	0.000	0.000	0.000	0	0	
2312	45.008	0.000	0.000	0.000	0	0	
2313	46.004	0.000	0.000	0.000	0	0	
2314	47.002	0.000	0.000	0.000	0	0	
2315	48.001	0.000	0.000	0.000	0	0	
2316	49.000	0.000	0.000	0.000	0	0	
2317	50.000	0.000	0.000	0.000	0	0	
2318	51.000	0.000	0.000	0.000	0	0	
2319	52.000	0.000	0.000	0.000	0	0	
2320	52.999	0.000	0.000	0.000	0	0	
2321	53.998	0.000	0.000	0.000	0	0	
2322	54.996	0.000	0.000	0.000	0	0	
2323	55.992	0.000	0.000	0.000	0	0	
2324	56.986	0.000	0.000	0.000	0	0	
2325	57.977	0.000	0.000	0.000	0	0	
2326	58.966	0.000	0.000	0.000	0	0	
