CYCLE	CMDPOS1	CMDPOS2	CMDPOS3	CMDPOS4	out_0.0	in_0.0	
2130	0.000	0.000	0.000	0.000	0	0	
2131	0.000	0.000	0.000	0.000	0	0	
2132	0.000	0.000	0.000	0.000	0	0	
2133	0.000	0.000	0.000	0.000	0	0	
2134	0.000	0.000	0.000	0.000	0	0	
2135	0.000	0.000	0.000	0.000	0	0	
2136	0.000	0.000	0.000	0.000	0	0	
2137	0.000	0.000	0.000	0.000	0	0	
2138	0.000	0.000	0.000	0.000	0	0	
2139	0.000	0.000	0.000	0.000	0	0	
2140	0.000	0.000	0.000	0.000	0	0	
2141	0.000	0.000	0.000	0.000	0	0	
2142	0.000	0.000	0.000	0.000	0	0	
2143	0.000	0.000	0.000	0.000	0	0	
2144	0.000	0.000	0.000	0.000	0	0	
2145	0.000	0.000	0.000	0.000	0	0	
2146	0.000	0.000	0.000	0.000	0	0	
2147	0.000	0.000	0.000	0.000	0	0	
2148	0.000	0.000	0.000	0.000	0	0	
2149	0.000	0.000	0.000	0.000	0	0	
2150	0.000	0.000	0.000	0.000	0	0	
2151	0.000	0.000	0.000	0.000	0	0	
2152	0.000	0.000	0.000	0.000	0	0	
2153	0.000	0.000	0.000	0.000	0	0	
2154	0.000	0.000	0.000	0.000	0	0	
2155	0.000	0.000	0.000	0.000	0	0	
2156	0.000	0.000	0.000	0.000	0	0	
2157	0.000	0.000	0.000	0.000	0	0	
2158	0.000	0.000	0.000	0.000	0	0	
2159	0.000	0.000	0.000	0.000	0	0	
2160	0.000	0.000	0.000	0.000	0	0	
2161	0.000	0.000	0.000	0.000	0	0	
2162	0.000	0.000	0.000	0.000	0	0	
2163	0.000	0.000	0.000	0.000	0	0	
2164	0.000	0.000	0.000	0.000	0	0	
2165	0.000	0.000	0.000	0.000	0	0	
2166	0.000	0.000	0.000	0.000	0	0	
2167	0.000	0.000	0.000	0.000	0	0	
2168	0.000	0.000	0.000	0.000	0	0	
2169	0.000	0.000	0.000	0.000	0	0	
2170	0.000	0.000	0.000	0.000	0	0	
2171	0.000	0.000	0.000	0.000	0	0	
2172	0.000	0.000	0.000	0.000	0	0	
2173	0.000	0.000	0.000	0.000	0	0	
2174	0.000	0.000	0.000	0.000	0	0	
2175	0.000	0.000	0.000	0.000	0	0	
2176	0.000	0.000	0.000	0.000	0	0	
2177	0.000	0.000	0.000	0.000	0	0	
2178	0.000	0.000	0.000	0.000	0	0	
2179	0.000	0.000	0.000	0.000	0	0	
2180	0.000	0.000	0.000	0.000	0	0	
2181	0.000	0.000	0.000	0.000	0	0	
2182	0.000	0.000	0.000	0.000	0	0	
2183	0.000	0.000	0.000	0.000	0	0	
2184	0.000	0.000	0.000	0.000	0	0	
2185	0.000	0.000	0.000	0.000	0	0	
2186	0.000	0.000	0.000	0.000	0	0	
2187	0.000	0.000	0.000	0.000	0	0	
2188	0.000	0.000	0.000	0.000	0	0	
2189	0.000	0.000	0.000	0.000	0	0	
2190	0.000	0.000	0.000	0.000	0	0	
2191	0.000	0.000	0.000	0.000	0	0	
2192	0.000	0.000	0.000	0.000	0	0	
2193	0.000	0.000	0.000	0.000	0	0	
2194	0.000	0.000	0.000	0.000	0	0	
2195	0.000	0.000	0.000	0.000	0	0	
2196	0.000	0.000	0.000	0.000	0	0	
2197	0.000	0.000	0.000	0.000	0	0	
2198	0.000	0.000	0.000	0.000	0	0	
2199	0.000	0.000	0.000	0.000	0	0	
2200	0.000	0.000	0.000	0.000	0	0	
2201	0.000	0.000	0.000	0.000	0	0	
2202	0.003	0.000	0.000	0.000	0	0	
2203	0.009	0.000	0.000	0.000	0	0	
2204	0.022	0.000	0.000	0.000	0	0	
2205	0.043	0.000	0.000	0.000	0	0	
2206	0.075	0.000	0.000	0.000	0	0	
2207	0.119	0.000	0.000	0.000	0	0	
2208	0.177	0.000	0.000	0.000	0	0	
2209	0.253	0.000	0.000	0.000	0	0	
2210	0.347	0.000	0.000	0.000	0	0	
2211	0.461	0.000	0.000	0.000	0	0	
2212	0.599	0.000	0.000	0.000	0	0	
2213	0.761	0.000	0.000	0.000	0	0	
2214	0.950	0.000	0.000	0.000	0	0	
2215	1.167	0.000	0.000	0.000	0	0	
2216	1.410	0.000	0.000	0.000	0	0	
2217	1.680	0.000	0.000	0.000	0	0	
2218	1.977	0.000	0.000	0.000	0	0	
2219	2.302	0.000	0.000	0.000	0	0	
2220	2.653	0.000	0.000	0.000	0	0	
2221	3.032	0.000	0.000	0.000	0	0	
2222	3.437	0.000	0.000	0.000	0	0	
2223	3.869	0.000	0.000	0.000	0	0	
2224	4.329	0.000	0.000	0.000	0	0	
2225	4.815	0.000	0.000	0.000	0	0	
2226	5.329	0.000	0.000	0.000	0	0	
2227	5.869	0.000	0.000	0.000	0	0	
2228	6.437	0.000	0.000	0.000	0	0	
2229	7.032	0.000	0.000	0.000	0	0	
2230	7.653	0.000	0.000	0.000	0	0	
2231	8.302	0.000	0.000	0.000	0	0	
2232	8.977	0.000	0.000	0.000	0	0	
2233	9.680	0.000	0.000	0.000	0	0	
2234	10.410	0.000	0.000	0.000	0	0	
2235	11.167	0.000	0.000	0.000	0	0	
2236	11.950	0.000	0.000	0.000	0	0	
2237	12.761	0.000	0.000	0.000	0	0	
2238	13.599	0.000	0.000	0.000	0	0	
2239	14.461	0.000	0.000	0.000	0	0	
2240	15.347	0.000	0.000	0.000	0	0	
2241	16.253	0.000	0.000	0.000	0	0	
2242	17.177	0.000	0.000	0.000	0	0	
2243	18.119	0.000	0.000	0.000	0	0	
2244	19.075	0.000	0.000	0.000	0	0	
2245	20.043	0.000	0.000	0.000	0	0	
2246	21.022	0.000	0.000	0.000	0	0	
2247	22.009	0.000	0.000	0.000	0	0	
2248	23.003	0.000	0.000	0.000	0	0	
2249	24.000	0.000	0.000	0.000	0	0	
2250	25.000	0.000	0.000	0.000	0	0	
2251	26.000	0.000	0.000	0.000	0	0	
2252	27.000	0.000	0.000	0.000	0	0	
2253	28.000	0.000	0.000	0.000	0	0	
2254	29.000	0.000	0.000	0.000	0	0	
2255	30.000	0.000	0.000	0.000	0	0	
2256	31.000	0.000	0.000	0.000	0	0	
2257	32.000	0.000	0.000	0.000	0	0	
2258	33.000	0.000	0.000	0.000	0	0	
2259	34.000	0.000	0.000	0.000	0	0	
2260	35.000	0.000	0.000	0.000	0	0	
2261	36.000	0.000	0.000	0.000	0	0	
2262	37.000	0.000	0.000	0.000	0	0	
2263	38.000	0.000	0.000	0.000	0	0	
2264	39.000	0.000	0.000	0.000	0	0	
2265	40.000	0.000	0.000	0.000	0	0	
2266	41.000	0.000	0.000	0.000	0	0	
2267	42.000	0.000	0.000	0.000	0	0	
2268	43.000	0.000	0.000	0.000	0	0	
2269	44.000	0.000	0.000	0.000	0	0	
2270	45.000	0.000	0.000	0.000	0	0	
2271	46.000	0.000	0.000	0.000	0	0	
2272	47.000	0.000	0.000	0.000	0	0	
