CYCLE	CMDPOS4	CMDPOS6	CMDPOS8	CMDPOS9	out_0.0	in_0.0	
1658	0.000	0.000	0.000	0.000	0	0	
1659	0.000	0.000	0.000	0.000	0	0	
1660	0.000	0.000	0.000	0.000	0	0	
1661	0.000	0.000	0.000	0.000	0	0	
1662	0.000	0.000	0.000	0.000	0	0	
1663	0.000	0.000	0.000	0.000	0	0	
1664	0.000	0.000	0.000	0.000	0	0	
1665	0.000	0.000	0.000	0.000	0	0	
1666	0.000	0.000	0.000	0.000	0	0	
1667	0.000	0.000	0.000	0.000	0	0	
1668	0.000	0.000	0.000	0.000	0	0	
1669	0.000	0.000	0.000	0.000	0	0	
1670	0.000	0.000	0.000	0.000	0	0	
1671	0.000	0.000	0.000	0.000	0	0	
1672	0.000	0.000	0.000	0.000	0	0	
1673	0.000	0.000	0.000	0.000	0	0	
1674	0.000	0.000	0.000	0.000	0	0	
1675	0.000	0.000	0.000	0.000	0	0	
1676	0.000	0.000	0.000	0.000	0	0	
1677	0.000	0.000	0.000	0.000	0	0	
1678	0.000	0.000	0.000	0.000	0	0	
1679	0.000	0.000	0.000	0.000	0	0	
1680	0.000	0.000	0.000	0.000	0	0	
1681	0.000	0.000	0.000	0.000	0	0	
1682	0.000	0.000	0.000	0.000	0	0	
1683	0.000	0.000	0.000	0.000	0	0	
1684	0.000	0.000	0.000	0.000	0	0	
1685	0.000	0.000	0.000	0.000	0	0	
1686	0.000	0.000	0.000	0.000	0	0	
1687	0.000	0.000	0.000	0.000	0	0	
1688	0.000	0.000	0.000	0.000	0	0	
1689	0.000	0.000	0.000	0.000	0	0	
1690	0.000	0.000	0.000	0.000	0	0	
1691	0.000	0.000	0.000	0.000	0	0	
1692	0.000	0.000	0.000	0.000	0	0	
1693	0.000	0.000	0.000	0.000	0	0	
1694	0.000	0.000	0.000	0.000	0	0	
1695	0.000	0.000	0.000	0.000	0	0	
1696	0.000	0.000	0.000	0.000	0	0	
1697	0.000	0.000	0.000	0.000	0	0	
1698	0.000	0.000	0.000	0.000	0	0	
1699	0.000	0.000	0.000	0.000	0	0	
1700	0.000	0.000	0.000	0.000	0	0	
1701	0.000	0.000	0.000	0.000	0	0	
1702	0.000	0.000	0.000	0.000	0	0	
1703	0.000	0.000	0.000	0.000	0	0	
1704	0.000	0.000	0.000	0.000	0	0	
1705	0.000	0.000	0.000	0.000	0	0	
1706	0.000	0.000	0.000	0.000	0	0	
1707	0.000	0.000	0.000	0.000	0	0	
1708	0.000	0.000	0.000	0.000	0	0	
1709	0.000	0.000	0.000	0.000	0	0	
1710	0.000	0.000	0.000	0.000	0	0	
1711	0.000	0.000	0.000	0.000	0	0	
1712	0.000	0.000	0.000	0.000	0	0	
1713	0.000	0.000	0.000	0.000	0	0	
1714	0.000	0.000	0.000	0.000	0	0	
1715	0.000	0.000	0.000	0.000	0	0	
1716	0.000	0.000	0.000	0.000	0	0	
1717	0.000	0.000	0.000	0.000	0	0	
1718	0.000	0.000	0.000	0.000	0	0	
1719	0.000	0.000	0.000	0.000	0	0	
1720	0.000	0.000	0.000	0.000	0	0	
1721	0.000	0.000	0.000	0.000	0	0	
1722	0.000	0.000	0.000	0.000	0	0	
1723	0.000	0.000	0.000	0.000	0	0	
1724	0.000	0.000	0.000	0.000	0	0	
1725	0.000	0.000	0.000	0.000	0	0	
1726	0.000	0.000	0.000	0.000	0	0	
1727	0.002	-0.000	0.000	0.001	0	0	
1728	0.008	-0.001	0.002	0.002	0	0	
1729	0.017	-0.003	0.004	0.005	0	0	
