CYCLE	CMDPOS4	CMDPOS5	out_0.0	in_0.0	
1194	0.000	0.000	0	0	
1195	0.000	0.000	0	0	
1196	0.000	0.000	0	0	
1197	0.000	0.000	0	0	
1198	0.000	0.000	0	0	
1199	0.000	0.000	0	0	
1200	0.000	0.000	0	0	
1201	0.000	0.000	0	0	
1202	0.000	0.000	0	0	
1203	0.000	0.000	0	0	
1204	0.000	0.000	0	0	
1205	0.000	0.000	0	0	
1206	0.000	0.000	0	0	
1207	0.000	0.000	0	0	
1208	0.000	0.000	0	0	
1209	0.000	0.000	0	0	
1210	0.000	0.000	0	0	
1211	0.000	0.000	0	0	
1212	0.000	0.000	0	0	
1213	0.000	0.000	0	0	
1214	0.000	0.000	0	0	
1215	0.000	0.000	0	0	
1216	0.000	0.000	0	0	
1217	0.000	0.000	0	0	
1218	0.000	0.000	0	0	
1219	0.000	0.000	0	0	
1220	0.000	0.000	0	0	
1221	0.000	0.000	0	0	
1222	0.000	0.000	0	0	
1223	0.000	0.000	0	0	
1224	0.000	0.000	0	0	
1225	0.000	0.000	0	0	
1226	0.000	0.000	0	0	
1227	0.000	0.000	0	0	
1228	0.000	0.000	0	0	
1229	0.000	0.000	0	0	
1230	0.000	0.000	0	0	
1231	0.000	0.000	0	0	
1232	0.000	0.000	0	0	
1233	0.000	0.000	0	0	
1234	0.000	0.000	0	0	
1235	0.000	0.000	0	0	
1236	0.000	0.000	0	0	
1237	0.000	0.000	0	0	
1238	0.000	0.000	0	0	
1239	0.000	0.000	0	0	
1240	0.000	0.000	0	0	
1241	0.000	0.000	0	0	
1242	0.000	0.000	0	0	
1243	0.000	0.000	0	0	
1244	0.000	0.000	0	0	
1245	0.000	0.000	0	0	
1246	0.000	0.000	0	0	
1247	0.000	0.000	0	0	
1248	0.000	0.000	0	0	
1249	0.000	0.000	0	0	
1250	0.000	0.000	0	0	
1251	0.000	0.000	0	0	
1252	0.000	0.000	0	0	
1253	0.000	0.000	0	0	
1254	0.000	0.000	0	0	
1255	0.000	0.000	0	0	
1256	0.000	0.000	0	0	
1257	0.000	0.000	0	0	
1258	0.000	0.000	0	0	
1259	0.000	-0.005	0	0	
1260	0.000	-0.020	0	0	
1261	0.000	-0.045	0	0	
1262	0.000	-0.080	0	0	
1263	0.000	-0.125	0	0	
1264	0.000	-0.180	0	0	
1265	0.000	-0.245	0	0	
1266	0.000	-0.320	0	0	
1267	0.000	-0.405	0	0	
1268	0.000	-0.500	0	0	
1269	0.000	-0.605	0	0	
1270	0.000	-0.720	0	0	
1271	0.000	-0.845	0	0	
1272	0.000	-0.980	0	0	
1273	0.000	-1.125	0	0	
1274	0.000	-1.280	0	0	
1275	0.000	-1.445	0	0	
1276	0.000	-1.620	0	0	
1277	0.000	-1.805	0	0	
1278	0.000	-2.000	0	0	
1279	0.000	-2.205	0	0	
1280	0.000	-2.420	0	0	
1281	0.000	-2.645	0	0	
1282	0.000	-2.880	0	0	
1283	0.000	-3.125	0	0	
1284	0.000	-3.380	0	0	
1285	0.000	-3.645	0	0	
1286	0.000	-3.920	0	0	
1287	0.000	-4.205	0	0	
1288	0.000	-4.500	0	0	
1289	0.000	-4.805	0	0	
1290	0.000	-5.120	0	0	
1291	0.000	-5.445	0	0	
1292	0.000	-5.780	0	0	
1293	0.000	-6.125	0	0	
1294	0.000	-6.480	0	0	
1295	0.000	-6.845	0	0	
1296	0.000	-7.220	0	0	
1297	0.000	-7.605	0	0	
1298	0.000	-8.000	0	0	
1299	0.000	-8.405	0	0	
1300	0.000	-8.820	0	0	
1301	0.000	-9.245	0	0	
1302	0.000	-9.680	0	0	
1303	0.000	-10.125	0	0	
1304	0.000	-10.580	0	0	
1305	0.000	-11.045	0	0	
1306	0.000	-11.520	0	0	
1307	0.000	-12.005	0	0	
1308	0.000	-12.500	0	0	
1309	0.000	-13.005	0	0	
1310	0.000	-13.520	0	0	
1311	0.000	-14.045	0	0	
1312	0.000	-14.580	0	0	
1313	0.000	-15.125	0	0	
1314	0.000	-15.680	0	0	
1315	0.000	-16.245	0	0	
1316	0.000	-16.820	0	0	
1317	0.000	-17.405	0	0	
1318	0.000	-18.000	0	0	
1319	0.000	-18.605	0	0	
1320	0.000	-19.220	0	0	
1321	0.000	-19.845	0	0	
1322	0.000	-20.480	0	0	
1323	0.000	-21.125	0	0	
1324	0.000	-21.780	0	0	
1325	0.000	-22.445	0	0	
1326	0.000	-23.120	0	0	
1327	0.000	-23.805	0	0	
1328	0.000	-24.500	0	0	
1329	0.000	-25.205	0	0	
1330	0.000	-25.920	0	0	
1331	0.000	-26.645	0	0	
1332	0.000	-27.380	0	0	
1333	0.000	-28.125	0	0	
1334	0.000	-28.880	0	0	
1335	0.000	-29.645	0	0	
1336	0.000	-30.420	0	0	
1337	0.000	-31.205	0	0	
1338	0.000	-32.000	0	0	
1339	0.000	-32.805	0	0	
1340	0.000	-33.620	0	0	
1341	0.000	-34.445	0	0	
1342	0.000	-35.280	0	0	
1343	0.000	-36.125	0	0	
1344	0.000	-36.980	0	0	
1345	0.000	-37.845	0	0	
1346	0.000	-38.720	0	0	
1347	0.000	-39.605	0	0	
1348	0.000	-40.500	0	0	
1349	0.000	-41.405	0	0	
1350	0.000	-42.320	0	0	
1351	0.000	-43.245	0	0	
1352	0.000	-44.180	0	0	
1353	0.000	-45.125	0	0	
1354	0.000	-46.080	0	0	
1355	0.000	-47.045	0	0	
1356	0.000	-48.020	0	0	
1357	0.000	-49.005	0	0	
1358	0.000	-50.000	0	0	
1359	0.000	-51.005	0	0	
1360	0.000	-52.020	0	0	
1361	0.000	-53.045	0	0	
1362	0.000	-54.080	0	0	
1363	0.000	-55.125	0	0	
1364	0.000	-56.180	0	0	
1365	0.000	-57.245	0	0	
1366	0.000	-58.320	0	0	
1367	0.000	-59.405	0	0	
1368	0.000	-60.500	0	0	
1369	0.000	-61.605	0	0	
1370	0.000	-62.720	0	0	
1371	0.000	-63.845	0	0	
1372	0.000	-64.980	0	0	
1373	0.000	-66.125	0	0	
1374	0.000	-67.280	0	0	
1375	0.000	-68.445	0	0	
1376	0.000	-69.620	0	0	
1377	0.000	-70.805	0	0	
1378	0.000	-72.000	0	0	
1379	0.000	-73.205	0	0	
1380	0.000	-74.420	0	0	
1381	0.000	-75.645	0	0	
1382	0.000	-76.880	0	0	
1383	0.000	-78.125	0	0	
1384	0.000	-79.380	0	0	
1385	0.000	-80.645	0	0	
1386	0.000	-81.920	0	0	
1387	0.000	-83.205	0	0	
1388	0.000	-84.500	0	0	
1389	0.000	-85.805	0	0	
1390	0.000	-87.120	0	0	
1391	0.000	-88.445	0	0	
1392	0.000	-89.780	0	0	
1393	0.000	-91.125	0	0	
1394	0.000	-92.480	0	0	
1395	0.000	-93.845	0	0	
1396	0.000	-95.220	0	0	
1397	0.000	-96.605	0	0	
1398	0.000	-98.000	0	0	
1399	0.000	-99.405	0	0	
1400	0.000	-100.820	0	0	
1401	0.000	-102.245	0	0	
1402	0.000	-103.680	0	0	
1403	0.000	-105.125	0	0	
